"","Effect","N","Parametric NHST Omnibus","Parametric NHST 1v2","Parametric NHST 1v3","Parametric NHST 2v3","Non-Parametric NHST Omnibus","Non-Parametric 1v2","Non-Parametric NHST 1v3","Non-Parametric 2v3","Bayes Factor Omnibus","Bayes Factor 1v2","Bayes Factor 1v3","Bayes Factor 2v3","Observation Oriented Model"
"1","Large",10,0.2,49.4,2.6,45.8,0.2,45.8,0.3,43.9,0.9,49.4,2.6,45.8,5.6
"2","Large",30,0,1.1,0,1.6,0,1.4,0,2.3,0,2.7,0,4,0.2
"3","Large",100,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Large",500,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Large",1000,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Medium",10,20.6,82.2,31.1,81,21.7,81.1,27.7,77.8,32.4,83.6,35.2,82.6,59.5
"7","Medium",30,0,38.9,0.1,36.2,0.1,38.7,0.2,34.6,0.8,49.1,1,49.4,28
"8","Medium",100,0,0.5,0,1.4,0,0.9,0,1.6,0,2.1,0,3.3,37.4
"9","Medium",500,0,0,0,0,0,0,0,0,0,0,0,0,29.4
"10","Medium",1000,0,0,0,0,0,0,0,0,0,0,0,0,20.7
"11","Small",10,73.9,95,84.3,94,76.7,95.5,84.3,93.9,85.4,96.5,87.4,95.7,90.3
"12","Small",30,42.4,84.5,52.9,85.6,45.1,85.7,54,85.8,63,90.4,63.8,90.4,74.4
"13","Small",100,2.4,57.3,3.9,55,3.2,60,4.4,55.8,12.7,74.9,10.6,73.7,99.9
"14","Small",500,0,1.4,0,1.1,0,1.7,0,1.6,0,7.2,0,6.4,100
"15","Small",1000,0,0,0,0,0,0,0,0,0,0,0,0,100
"16","None",10,86.9,96,94.7,96.9,86.4,96.2,94.1,96.2,94.1,97.2,95.4,97.6,93.7
"17","None",30,76.9,94,86.2,95.4,78.4,94.3,86.9,95.6,91.1,97.2,91.9,97.6,88.1
"18","None",100,52.5,88.8,61.5,87.4,53.3,88.6,62.1,87.7,80.2,95.3,77.1,94.9,100
"19","None",500,0.9,47.8,1.1,51,1,49.9,1.5,52.8,13.1,76.1,6.3,74.9,100
"20","None",1000,0,19.2,0,19.6,0,21.1,0,18.7,0.1,46.7,0.1,48.9,100
