"","Effect","N","Parametric NHST Omnibus","Parametric NHST 1v2","Parametric NHST 1v3","Parametric NHST 2v3","Non-Parametric NHST Omnibus","Non-Parametric 1v2","Non-Parametric NHST 1v3","Non-Parametric 2v3","Bayes Factor Omnibus","Bayes Factor 1v2","Bayes Factor 1v3","Bayes Factor 2v3","Observation Oriented Model"
"1","Large",10,87.1,11.5,54,11.6,86.3,7.5,86.5,7.5,66.7,34.3,52.1,37.8,89
"2","Large",30,100,87.8,100,84.7,100,84.4,100,82.1,72.4,69.1,57.4,69.4,99.8
"3","Large",100,100,100,100,100,100,100,100,100,69.9,70.1,65.1,68,100
"4","Large",500,100,100,100,100,100,100,100,100,65.9,71.4,70.7,67.8,100
"5","Large",1000,100,100,100,100,100,100,100,100,100,71,67.9,70.5,100
"6","Medium",10,28.3,1.6,16.8,2.4,26.7,1.7,24.4,3.2,48.5,13.5,46.5,13.2,26.5
"7","Medium",30,95.8,21.7,93.7,22.1,95,22.3,94.8,24.4,70.7,37.7,69.8,37.5,72
"8","Medium",100,100,91.9,100,90,100,92.9,100,88.9,70.4,67.3,67.2,67.4,62.6
"9","Medium",500,100,100,100,100,100,100,100,100,70.6,68.9,73,70.3,70.6
"10","Medium",1000,100,100,100,100,100,100,100,100,70.5,70.1,71.8,71.2,79.3
"11","Small",10,2.6,0.3,1.3,0.4,2.2,0.4,1.7,0.4,11.7,2.8,10.7,4,4.9
"12","Small",30,15.9,1.7,12,2.1,14.3,1.5,11.6,1.5,27.4,8.3,26.9,8.5,14.5
"13","Small",100,78,11.8,75.7,11.4,75.3,10.2,73.7,11,60.9,18.5,64.5,20.2,0.1
"14","Small",500,100,88.2,100,89.4,100,84.7,100,87.2,71,66.1,71.1,67.2,0
"15","Small",1000,100,100,100,99.9,100,99.9,100,99.9,69.9,68.5,69,69.1,0
"16","None",10,1.3,0.3,0.9,0.2,0.9,0.4,0.2,0.5,4.9,2.4,3.7,2,3.2
"17","None",30,2.1,0.6,1.2,0.6,1.8,0.7,1.2,0.3,7.5,2.2,6.9,2.2,6
"18","None",100,12.7,0.7,10.2,1.7,10.8,0.7,9.2,1.4,13.7,4.1,17.6,4.4,0
"19","None",500,89.9,15.4,89.1,16.8,86.3,13.6,87.2,16.2,61.3,18.3,65.2,19.2,0
"20","None",1000,99.9,47.4,99.9,46,100,44.3,99.9,44,70.6,37.8,69.4,37.2,0
